ZONE_CODE;LAT;LON;CITY;DISPLAY_STREETNAME;GOOGLE_STREETNAME;ZONE_STREET;ZONE_DESCRIPTION;Tariff_range;Unieke ID
14;43.60381030782336;1.4299143305837438;Toulouse;4 Allée Du Niger;4 Allée Du Niger;4 Allée Du Niger;2 - 2,99;Toulouse - Zone 14;FRTOU1
14;43.60524420823479;1.430812961248381;Toulouse;2 Rue De L'abreuvoir Saint-Pierre;2 Rue De L'abreuvoir Saint-Pierre;2 Rue De L'abreuvoir Saint-Pierre;2 - 2,99;Toulouse - Zone 14;FRTOU2
14;43.60388641889346;1.4290515567805857;Toulouse;Pont des Catalans;Pont des Catalans;Pont des Catalans;2 - 2,99;Toulouse - Zone 14;FRTOU3
14;43.60560567722288;1.4296742724570477;Toulouse;9 Rue Des Amidonniers;9 Rue Des Amidonniers;9 Rue Des Amidonniers;2 - 2,99;Toulouse - Zone 14;FRTOU4
14;43.60566638610743;1.4320130253392924;Toulouse;21 Allée De Brienne;21 Allée De Brienne;21 Allée De Brienne;2 - 2,99;Toulouse - Zone 14;FRTOU5
13;43.60604704718899;1.4314709114906337;Toulouse;21 Allée De Brienne;21 Allée De Brienne;21 Allée De Brienne;2 - 2,99;Toulouse - Zone 13;FRTOU6
13;43.60922331224268;1.4320632913803306;Toulouse;L'Evangelina;L'Evangelina;L'Evangelina;2 - 2,99;Toulouse - Zone 13;FRTOU7
13;43.606204200816485;1.4332198805647642;Toulouse;2 Rue Lancefoc;2 Rue Lancefoc;2 Rue Lancefoc;2 - 2,99;Toulouse - Zone 13;FRTOU8
13;43.607225715263034;1.432007318734524;Toulouse;11 Rue Francisque Sarcey;11 Rue Francisque Sarcey;11 Rue Francisque Sarcey;2 - 2,99;Toulouse - Zone 13;FRTOU9
13;43.608506689518805;1.431916536269541;Toulouse;28 Boulevard Du Maréchal Leclerc;28 Boulevard Du Maréchal Leclerc;28 Boulevard Du Maréchal Leclerc;2 - 2,99;Toulouse - Zone 13;FRTOU10
18;43.61346322067278;1.4324888112311371;Toulouse;Allée Charles Denat;Allée Charles Denat;Allée Charles Denat;2 - 2,99;Toulouse - Zone 18;FRTOU11
18;43.614628819435154;1.4375217314172846;Toulouse;61 Avenue Honoré Serres;61 Avenue Honoré Serres;61 Avenue Honoré Serres;2 - 2,99;Toulouse - Zone 18;FRTOU12
18;43.61330829167467;1.4330656490193048;Toulouse;Allée Charles Denat;Allée Charles Denat;Allée Charles Denat;2 - 2,99;Toulouse - Zone 18;FRTOU13
18;43.61124450374725;1.435258700311047;Toulouse;10 Esplanade Compans Caffarelli;10 Esplanade Compans Caffarelli;10 Esplanade Compans Caffarelli;2 - 2,99;Toulouse - Zone 18;FRTOU14
18;43.6124594005462;1.4377615550765988;Toulouse;18 Rue Auber;18 Rue Auber;18 Rue Auber;2 - 2,99;Toulouse - Zone 18;FRTOU15
19;43.61111399046035;1.4413119288530383;Toulouse;20 Boulevard D'arcole;20 Boulevard D'arcole;20 Boulevard D'arcole;2 - 2,99;Toulouse - Zone 19;FRTOU16
19;43.614267761251185;1.4402626230086675;Toulouse;43 Rue De La Balance;43 Rue De La Balance;43 Rue De La Balance;2 - 2,99;Toulouse - Zone 19;FRTOU17
19;43.61436532812908;1.4394730356295926;Toulouse;12 Rue Perbosc;12 Rue Perbosc;12 Rue Perbosc;2 - 2,99;Toulouse - Zone 19;FRTOU18
19;43.61294948735461;1.4415770546551014;Toulouse;1 Rue Saint-Hilaire;1 Rue Saint-Hilaire;1 Rue Saint-Hilaire;2 - 2,99;Toulouse - Zone 19;FRTOU19
19;43.612454215728654;1.4388475039332913;Toulouse;Selectour - Carthage Travel Service;Selectour - Carthage Travel Service;Selectour - Carthage Travel Service;2 - 2,99;Toulouse - Zone 19;FRTOU20
